"URL","MetaDescPresent","MetaMin80Max100","TitlePresent","TitleRegex = [a-z]s|s(ABC)z","TitleMin40Max55","H1Present","H1Max1Total","SelfRefCanonical","NoImgsNoAlt","NoImgsAltEmpty"
"https://www.w3schools.com/tags/tryit.asp?filename=tryhtml_image_test","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"https://www.w3schools.com/tags/tryit.asp?filename=tryhtml_meta","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"https://technicalseo.com/crawling-indexing/annotations/link-element-rel-attribute/canonical/","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"http://example.com/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/living-with-mcardles-disease/do-i-have-mcardles-disease/diagnosis-of-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-disease-overview-facts/symptoms-of-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/tag/my-child-gets-tired-running/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-disease-health-care-resources/experts-on-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/information-about-mcardles-disease/coping-with-mcardles-injuries/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/living-with-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/information-about-mcardles-disease/kids-who-have-trouble-running-laps/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-disease-overview-facts/mcardles-disease-questions-answers/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-disease-overview-facts/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/category/information-about-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/information-about-mcardles-disease/what-is-rhabdomyolysis-and-who-is-at-risk/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/living-with-mcardles-disease/do-i-have-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-disease-blog/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/personal/connecting-mcardles-disease-cause-and-effect-with-diet-exercise/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/category/athletic-muscle-injury/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/category/mcardles-disease-blog/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/comment-page-8/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-disease-overview-facts/how-mcardles-disease-works-a-model/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-disease-overview-facts/muscle-biochemistry-glossary/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/mcardles-research/mcardles-disease-and-pregnancy/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/membri/jusnailtop/profile/change-avatar/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/tag/cant-jog/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/tag/exercising-with-mcardles-disease/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"http://example.com/tag/mcardles-disease-exercise/","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
